Country,Change of precent
Afghanistan,0.4
Albania,2.7
Algeria,1.4
Angola,1.9
Antigua and Barbuda,7.9
Argentina,7.2
Armenia,0.9
Australia,1.5
Austria,2
Azerbaijan,-1.3
Bahamas,0.6
Bahrain,1.5
Bangladesh,-0.5
Barbados,-2.7
Belarus,3.4
Belgium,2.4
Belize,4.7
Benin,0.6
Bhutan,-10.3
Bolivia (Plurinational State of),-1.7
Bosnia and Herzegovina,6
Botswana,-2.4
Brazil,2.6
Brunei Darussalam,0.4
Bulgaria,0.1
Burkina Faso,0
Burundi,6.5
Cabo Verde,-2.5
Cambodia,-1.7
Cameroon,0.6
Canada,1.2
Central African Republic,-1.5
Chad,-8.7
Chile,1.8
China,3.1
Colombia,1.8
Comoros,3.1
Congo,2.9
Cook Islands,-0.3
Costa Rica,4
Côte d’Ivoire,0.4
Croatia,3.1
Cuba,0.4
Cyprus,0
Czech Republic,1.1
Democratic Republic of the Congo,-6.8
Denmark,-13.7
Djibouti,0.4
Dominica,0.2
Dominican Republic,-5.2
Ecuador,5.1
Egypt,3.8
El Salvador,-8.8
Equatorial Guinea,4.4
Eritrea,5.1
Estonia,-8.5
Ethiopia,-0.6
Fiji,1.3
Finland,-3.2
France,-4.3
Gabon,8.7
Gambia,-6.2
Georgia,3.4
Germany,-11.3
Ghana,8
Greece,-2.4
Grenada,2.5
Guatemala,-9.8
Guinea,8.5
Guinea-Bissau,-1.7
Guyana,-5.4
Haiti,5.7
Honduras,1
Hungary,8.9
Iceland,-5.3
India,9.4
Indonesia,-0.6
Iran (Islamic Republic of),-10.7
Iraq,5.7
Ireland,-12.3
Israel,5.7
Italy,-5.1
Jamaica,2.5
Japan,-13.5
Jordan,-1.1
Kazakhstan,3.4
Kenya,2.9
Kiribati,-2
Kuwait,2.6
Kyrgyzstan,-5.4
Lao People's Democratic Republic,4.6
Latvia,-2.8
Lebanon,0.2
Lesotho,-4.2
Liberia,-11.8
Libya,-1
Lithuania,-5
Luxembourg,0.4
Madagascar,4.2
Malawi,-4.6
Malaysia,5.3
Maldives,-4.2
Mali,-2.3
Malta,-3.2
Marshall Islands,-11.1
Mauritania,7.4
Mauritius,0.4
Mexico,-6.5
Micronesia (Federated States of),-2.3
Monaco,-6.3
Mongolia,5.6
Montenegro,0.7
Morocco,10.9
Mozambique,-4.1
Myanmar,14
Namibia,-3.6
Nauru,0.4
Nepal,7.8
Netherlands,-10.5
New Zealand,-8.3
Nicaragua,-2.7
Niger,8.5
Nigeria,3.2
Niue,-1.7
Norway,-7.9
Oman,13
Pakistan,2.1
Palau,-11.9
Panama,-0.2
Papua New Guinea,-3.1
Paraguay,0.3
Peru,-3.6
Philippines,5.7
Poland,-5.2
Portugal,-2.3
Qatar,9.5
Republic of Korea,-7.3
Republic of Moldova,-2.1
Romania,0.5
Russian Federation,0.5
Rwanda,-10.9
Saint Kitts and Nevis,2.9
Saint Lucia,-2.3
Saint Vincent and the Grenadines,-1.1
Samoa,-2.7
San Marino,-0.3
Sao Tome and Principe,12.5
Saudi Arabia,3.4
Senegal,-1.6
Serbia,-3.7
Seychelles,2.7
Sierra Leone,-5.5
Singapore,2.8
Slovakia,-9.1
Slovenia,-2
Solomon Islands,-6.2
South Africa,7
South Sudan,9.1
Spain,1.7
Sri Lanka,-0.3
Sudan,3
Suriname,0.7
Swaziland,8.2
Sweden,1.6
Switzerland,4
Syrian Arab Republic,-0.9
Tajikistan,1.2
Thailand,4.4
The former Yugoslav Republic of Macedonia,0
Timor-Leste,-17.1
Togo,8.5
Tonga,-4.1
Trinidad and Tobago,-2
Tunisia,5.2
Turkey,3.7
Turkmenistan,-4.8
Tuvalu,10.1
Uganda,0.5
Ukraine,-1.7
United Arab Emirates,1.3
United Kingdom,1.4
United Republic of Tanzania,0.3
United States of America,1.3
Uruguay,-16.1
Uzbekistan,3.2
Vanuatu,1
Venezuela (Bolivarian Republic of),-2.1
Viet Nam,3.2
Yemen,-4
Zambia,2.5
